date,open,high,low,close,volume
2025-03-03,394.93,394.93,382.40,384.71,23007700
2025-03-04,379.66,388.76,377.29,384.82,29342900
2025-03-05,385.55,397.76,385.02,397.11,23433100
2025-03-06,390.44,398.23,388.85,393.02,23304600
2025-03-07,388.50,390.95,381.78,389.48,22034100
2025-03-10,382.08,382.64,373.55,376.46,32840100
2025-03-11,375.31,382.24,373.24,376.74,30380200
2025-03-12,379.22,381.47,375.26,379.54,24253600
2025-03-13,379.43,381.57,373.77,375.08,20473000
2025-03-14,376.08,386.43,375.81,384.77,19952800
2025-03-17,382.93,388.88,381.81,384.91,22474300
2025-03-18,383.30,383.60,377.39,379.78,19486900
2025-03-19,381.77,385.88,380.26,384.04,19185500
2025-03-20,381.98,387.97,379.55,383.07,18470500
2025-03-21,379.49,387.92,379.07,387.45,39675900
2025-03-24,391.55,391.55,386.01,389.25,21004500
2025-03-25,390.08,392.50,388.81,391.31,15775000
2025-03-26,391.15,391.46,384.78,386.17,16108400
2025-03-27,386.33,388.42,383.63,386.77,13766800
2025-03-28,384.30,385.34,373.26,375.11,21632000
2025-03-31,368.91,373.40,363.66,371.73,35184700
2025-04-01,371.00,379.12,369.59,378.47,19689500
2025-04-02,374.29,381.33,372.95,378.42,16092600
2025-04-03,371.14,373.80,365.75,369.48,30198000
2025-04-04,360.58,370.94,355.98,356.33,49209900
2025-04-07,347.46,367.39,341.43,354.37,50425000
2025-04-08,364.67,370.01,346.84,351.11,35868900
2025-04-09,350.10,389.40,349.66,386.69,50199700
2025-04-10,378.34,380.16,364.22,377.63,38024400
2025-04-11,376.93,386.25,375.20,384.67,23839200
2025-04-14,389.39,390.81,380.47,384.03,19251200
2025-04-15,384.73,388.07,380.42,381.97,17199900
2025-04-16,376.96,377.89,364.41,367.99,21967800
2025-04-17,370.11,370.67,363.32,364.20,21120200
2025-04-21,359.29,360.93,352.21,355.62,20807300
2025-04-22,359.84,364.19,356.35,363.25,19485000
2025-04-23,372.40,376.68,369.39,370.74,20545500
2025-04-24,372.04,384.67,371.53,383.53,22232300
2025-04-25,383.23,388.34,380.85,388.03,18973200
2025-04-28,388.14,388.91,382.87,387.35,16579400
2025-04-29,387.49,391.25,386.58,390.20,14974000
2025-04-30,386.50,392.80,380.69,391.41,36461100
2025-05-01,426.91,432.73,420.76,421.26,58938100
2025-05-02,427.53,435.16,425.80,431.04,30757400
2025-05-05,428.65,435.22,427.90,431.92,20136100
2025-05-06,427.99,433.47,426.97,429.09,15104200
2025-05-07,429.61,433.85,426.91,429.13,23295300
2025-05-08,433.66,439.35,431.42,433.90,23491300
2025-05-09,435.71,436.45,431.63,434.46,15324200
2025-05-12,441.60,444.99,435.50,444.88,22821900
2025-05-13,443.42,446.28,441.02,444.76,23618800
2025-05-14,443.77,449.48,443.77,448.53,19902800
2025-05-15,447.20,452.58,446.86,449.54,21992300
2025-05-16,448.47,450.76,445.17,450.67,23849800
2025-05-19,447.31,455.95,447.23,455.23,21336500
2025-05-20,451.98,454.71,450.72,454.54,15441800
2025-05-21,450.97,454.15,448.23,448.98,19216900
2025-05-22,451.34,456.60,450.30,451.26,18025600
2025-05-23,446.41,450.09,445.35,446.61,16883500
2025-05-27,452.86,457.30,452.51,457.04,20974300
2025-05-28,457.57,458.85,453.31,453.74,17086300
2025-05-29,457.89,458.06,451.70,455.05,13974800
2025-05-30,456.08,458.02,451.93,456.71,34770500
2025-06-02,453.52,458.45,453.27,458.31,16626500
2025-06-03,457.81,460.46,457.21,459.30,15743800
2025-06-04,460.32,462.00,459.35,460.19,14162700
2025-06-05,461.28,465.93,460.35,463.97,20131700
2025-06-06,466.36,469.59,465.07,466.65,15285600
2025-06-09,465.98,469.68,464.91,469.00,16469900
2025-06-10,467.46,469.05,463.26,467.19,15375900
2025-06-11,466.30,471.70,465.94,468.87,16399200
2025-06-12,471.26,476.61,469.77,475.08,18950600
2025-06-13,472.63,475.38,469.01,471.20,16814500
2025-06-16,471.44,476.88,471.24,475.34,15626100
2025-06-17,471.63,474.95,470.32,474.25,15414100
2025-06-18,474.21,477.19,470.70,476.43,17526500
2025-06-20,478.41,479.63,473.09,473.62,37576200
2025-06-23,474.42,483.88,468.77,482.15,24864000
2025-06-24,485.08,487.95,482.94,486.23,22305600
2025-06-25,488.14,490.64,485.51,488.37,17495100
2025-06-26,489.07,494.09,488.90,493.51,21578900
2025-06-27,493.61,495.34,489.12,492.01,34539200
2025-06-30,493.10,496.79,491.40,493.47,28369000
